customer_id,age,gender,income,education_level,education_years,employment_status,employment_years,company_size,credit_score,existing_loans,loan_amount,loan_purpose,loan_term_months,interest_rate,has_property,property_value,has_car,car_value,num_dependents,marital_status,monthly_expenses,savings_balance,city,application_date,approved
C001,25,Male,35000,Bachelor,12,Employed,2,Medium,650,1,5000,Personal,12,8.5,0,,1,12000,0,Single,1200,5000,New York,2024-01-15,1
C002,34,Female,55000,Master,16,Employed,8,Large,720,0,15000,Home Improvement,36,6.2,1,180000,1,25000,2,Married,2100,28000,Los Angeles,2024-01-18,1
C003,45,Male,72000,Bachelor,14,Self-Employed,15,Small,680,2,25000,Business,48,7.8,1,250000,1,18000,3,Married,2800,45000,Chicago,2024-01-20,1
C004,22,Female,28000,Bachelor,12,Employed,1,Small,580,0,8000,Education,24,9.5,0,,0,,0,Single,900,2000,Houston,2024-01-22,0
C005,,Male,48000,Bachelor,12,Employed,10,Medium,640,1,12000,Debt Consolidation,36,7.5,0,,1,15000,1,Married,1600,12000,Phoenix,2024-01-25,1
C006,52,Male,95000,PhD,18,Employed,25,Large,780,0,50000,Investment,60,5.5,1,420000,1,35000,2,Married,3500,95000,Philadelphia,2024-02-01,1
C007,29,Female,42000,Bachelor,14,Employed,4,Medium,620,1,10000,Personal,24,8.2,0,,1,14000,0,Single,1400,8500,San Antonio,2024-02-03,1
C008,41,male,N/A,Master,16,Employed,12,Large,700,1,20000,Home Improvement,48,6.8,1,200000,1,22000,2,Married,2300,32000,San Diego,2024-02-05,1
C009,35,Female,39000,High School,12,Employed,6,Small,590,2,7000,Medical,12,9.8,0,,0,,1,Divorced,1500,3500,Dallas,2024-02-08,0
C010,48,Male,85000,Master,16,Employed,20,Large,750,0,35000,Business,60,5.8,1,350000,1,28000,3,Married,3100,72000,San Jose,2024-02-10,1
C011,26,FEMALE,31000,Bachelor,14,Employed,3,Small,610,1,6000,Personal,12,8.8,0,,1,11000,0,Single,1100,4200,Austin,2024-02-12,0
C012,55,Male,110000,PhD,20,Self-Employed,30,Large,800,0,60000,Investment,60,5.2,1,550000,1,45000,1,Married,4000,150000,Jacksonville,2024-02-15,1
C013,33,Female,52000,Bachelor,14,Employed,7,Medium,660,1,14000,Debt Consolidation,36,7.2,1,165000,1,16000,2,Married,1900,18000,Fort Worth,2024-02-18,1
C014,27,M,36000,Bachelor,12,Employed,2,Small,600,0,5500,Education,12,9.0,0,,0,,0,Single,1250,6000,Columbus,2024-02-20,0
C015,44,Male,78000,Master,16,Employed,18,Large,740,1,30000,Home Improvement,48,6.0,1,280000,1,30000,2,Married,2900,55000,Charlotte,2024-02-22,1
C016,-5,Female,45000,Bachelor,14,Employed,5,Medium,630,1,9000,Personal,24,7.8,0,,1,13000,1,Single,1550,9500,San Francisco,2024-02-25,1
C017,39,Male,58000,High School,12,Employed,11,Medium,670,0,18000,Business,36,7.0,1,175000,1,17000,2,Married,2000,22000,Indianapolis,2024-02-28,1
C018,23,Female,25000,Bachelor,12,Employed,1,Small,550,0,4000,Personal,12,10.5,0,,0,,0,Single,850,1500,Seattle,2024-03-01,0
C019,50,Male,92000,Master,18,Employed,22,Large,770,0,45000,Investment,60,5.6,1,380000,1,32000,3,Married,3400,85000,Denver,2024-03-03,1
C020,36,Female,49000,Bachelor,14,Employed,8,Medium,645,1,11000,Debt Consolidation,24,7.5,0,,1,14500,1,Married,1700,14000,Washington,2024-03-05,1
C021,28,Male,38000,Bachelor,12,Employed,3,Small,605,0,6500,Education,12,8.5,0,,1,10000,0,Single,1300,5500,Boston,2024-03-08,0
C022,47,Female,82000,Master,16,Self-Employed,19,Medium,745,1,32000,Business,48,6.2,1,310000,1,26000,2,Married,3000,68000,El Paso,2024-03-10,1
C023,32,,47000,Bachelor,14,Employed,6,Medium,635,1,10500,Personal,24,7.8,1,145000,1,15000,1,Married,1650,11000,Detroit,2024-03-12,1
C024,54,Male,105000,PhD,18,Employed,28,Large,790,0,55000,Investment,60,5.4,1,480000,1,40000,2,Married,3800,120000,Nashville,2024-03-15,1
C025,24,Female,29000,Bachelor,12,Employed,1,Small,570,0,4500,Education,12,9.8,0,,0,,0,Single,950,2500,Portland,2024-03-18,0
C026,42,Male,65000,Bachelor,16,Employed,14,Medium,710,1,22000,Home Improvement,48,6.5,1,220000,1,20000,2,Married,2400,35000,Oklahoma City,2024-03-20,1
C027,37,Female,53000,Bachelor,14,Employed,9,Medium,655,0,13000,Debt Consolidation,36,7.2,0,,1,16500,1,Divorced,1850,16000,Las Vegas,2024-03-22,1
C028,30,Male,41000,High School,12,Employed,4,Small,615,1,8500,Personal,24,8.0,0,,1,12500,0,Single,1450,7500,Louisville,2024-03-25,1
C029,46,Female,79000,Master,16,Employed,17,Large,735,0,28000,Business,48,6.3,1,265000,1,24000,3,Married,2950,52000,Baltimore,2024-03-28,1
C030,21,Male,24000,High School,10,Employed,0,Small,540,0,3500,Education,12,11.0,0,,0,,0,Single,800,1000,Milwaukee,2024-04-01,0
C031,40,Female,59000,Bachelor,14,Employed,12,Medium,675,1,17000,Home Improvement,36,7.0,1,190000,1,19000,2,Married,2050,25000,Albuquerque,2024-04-03,1
C032,49,Male,88000,Master,18,Employed,21,Large,760,0,40000,Investment,60,5.7,1,365000,1,33000,2,Married,3250,78000,Tucson,2024-04-05,1
C033,34,Female,50000,Bachelor,14,Employed,7,Medium,650,1,12500,Debt Consolidation,36,7.4,0,,1,14000,1,Single,1750,13000,Fresno,2024-04-08,1
C034,43,Male,70000,Bachelor,16,Employed,15,Medium,705,0,24000,Business,48,6.6,1,235000,1,21000,2,Married,2650,42000,Sacramento,2024-04-10,1
C035,26,Female,33000,Bachelor,12,Employed,2,Small,595,0,5200,Personal,12,9.2,0,,0,,0,Single,1150,3800,Long Beach,2024-04-12,0
C036,51,Male,98000,PhD,18,Employed,24,Large,785,0,52000,Investment,60,5.3,1,440000,1,38000,1,Married,3600,105000,Kansas City,2024-04-15,1
C037,29,Female,40000,Bachelor,14,Employed,4,Small,625,1,9500,Personal,24,8.0,0,,1,13500,0,Single,1400,8000,Mesa,2024-04-18,1
C038,38,Male,56000,Bachelor,14,Self-Employed,10,Small,665,0,16000,Business,36,7.2,1,170000,1,17500,2,Married,1950,20000,Atlanta,2024-04-20,1
C039,45,Female,76000,Master,16,Employed,16,Large,725,1,27000,Home Improvement,48,6.4,1,275000,1,27000,3,Married,2850,48000,Colorado Springs,2024-04-22,1
C040,23,Male,27000,Bachelor,12,Employed,1,Small,565,0,4200,Education,12,10.0,0,,0,,0,Single,920,2200,Raleigh,2024-04-25,0
C041,150,Female,85000,Master,16,Employed,20,Large,720,0,30000,Home Improvement,48,6.5,1,295000,1,25000,2,Married,2800,58000,Omaha,2024-04-28,1
C042,33,Male,52000,Bachelor,14,Employed,-3,Medium,640,1,12000,Debt Consolidation,36,7.5,0,,1,15500,1,Single,1750,10500,Miami,2024-05-01,1
C043,28,Female,NULL,High School,12,Unemployed,3,,600,0,7000,Personal,24,9.0,0,,0,,0,Single,1200,4000,Oakland,2024-05-03,0
C044,44,Male,72000,Bachelor,16,Employed,15,Medium,695,1,20000,Business,48,6.8,1,210000,1,23000,2,Married,2500,38000,Minneapolis,2024-05-05,1
C045,31,female,46000,Bachelor,14,Employed,5,Small,625,0,9000,Personal,24,8.2,0,,1,12000,0,Single,1500,9000,Tulsa,2024-05-08,1
C046,36,Male,58000,Bachelor,14,Employed,9,Medium,660,1,15000,Home Improvement,36,7.0,1,180000,1,18000,1,Married,1900,17500,Cleveland,2024-05-10,1
C047,48,Female,90000,Master,18,Employed,22,Large,765,0,42000,Investment,60,5.6,1,375000,1,31000,3,Married,3300,82000,Wichita,2024-05-12,1
C048,25,Male,32000,Bachelor,12,Employed,2,Small,585,0,5500,Education,12,9.5,0,,0,,0,Single,1050,3200,Arlington,2024-05-15,0
C049,42,Female,68000,Bachelor,16,Employed,14,Medium,705,1,21000,Debt Consolidation,48,6.7,1,225000,1,22000,2,Divorced,2450,40000,New Orleans,2024-05-18,1
C050,29,Male,  43000,Bachelor,14,Employed,4,Small,615,0,8500,Personal,24,8.3,0,,1,11500,0,Single,1400,7000,Bakersfield,2024-05-20,1
C051,38,F,57000,Bachelor,14,Employed,10,Medium,670,1,17500,Business,36,7.1,1,185000,1,19500,2,Married,2000,23000,Tampa,2024-05-22,1
C052,53,Male,102000,PhD,18,Self-Employed,27,Medium,795,0,58000,Investment,60,5.3,1,460000,1,42000,1,Married,3700,115000,Honolulu,2024-05-25,1
C053,27,Female,35000,Bachelor,12,Employed,2,Small,598,0,6000,Personal,12,9.0,0,,0,,0,Single,1180,4500,Aurora,2024-05-28,0
C054,41,Male,63000,Bachelor,16,Employed,13,Medium,688,1,19000,Home Improvement,36,6.9,1,195000,1,20500,2,Married,2200,30000,Anaheim,2024-06-01,1
C055,35,Female,,Bachelor,14,Employed,8,Medium,645,0,14000,Debt Consolidation,36,7.3,1,160000,1,16000,1,Married,1800,15500,Santa Ana,2024-06-03,1
C056,47,Male,84000,Master,16,Employed,19,Large,752,1,36000,Business,60,5.9,1,340000,1,29000,3,Married,3150,70000,St. Louis,2024-06-05,1
C057,24,Female,30000,Bachelor,12,Employed,1,Small,575,0,4800,Education,12,9.7,0,,0,,0,Single,980,2800,Riverside,2024-06-08,0
C058,39,Male,60000,Bachelor,14,Employed,11,Medium,678,0,18500,Home Improvement,36,7.0,1,205000,1,21000,2,Married,2100,27000,Corpus Christi,2024-06-10,1
C059,32,MALE,48000,Bachelor,14,Employed,6,Small,638,1,11500,Personal,24,7.8,0,,1,14500,1,Single,1680,12500,Lexington,2024-06-12,1
C060,50,Female,94000,Master,18,Employed,23,Large,775,0,48000,Investment,60,5.5,1,395000,1,34000,2,Married,3450,90000,Pittsburgh,2024-06-15,1
C061,28,Male,39000,High School,12,Employed,3,Small,608,0,7500,Personal,12,8.8,0,,1,10500,0,Single,1350,6200,Anchorage,2024-06-18,0
C062,44,Female,74000,Bachelor,16,Employed,16,Large,718,1,26000,Business,48,6.5,1,255000,1,25000,2,Married,2750,47000,Stockton,2024-06-20,1
C063,31,Male,44000,Bachelor,14,Employed,5,Medium,622,0,9500,Personal,24,8.1,0,,1,13000,0,Single,1480,8800,Cincinnati,2024-06-22,1
C064,57,Female,115000,PhD,20,Employed,32,Large,805,0,65000,Investment,60,5.1,1,580000,1,48000,1,Married,4200,160000,St. Paul,2024-06-25,1
C065,26,Male,34000,Bachelor,12,Employed,2,Small,592,0,5800,Education,12,9.3,0,,0,,0,Single,1120,4000,Toledo,2024-06-28,0
C066,43,Female,71000,Bachelor,16,Employed,15,Medium,702,1,23000,Home Improvement,48,6.6,1,240000,1,22500,2,Married,2600,43000,Greensboro,2024-07-01,1
C067,37,Male,54000,Bachelor,14,Employed,9,Medium,652,0,14500,Debt Consolidation,36,7.2,0,,1,17000,1,Divorced,1880,17000,Newark,2024-07-03,1
C068,30,Female,42000,Bachelor,14,Employed,4,Small,618,1,8800,Personal,24,8.0,0,,1,12200,0,Single,1420,7800,Plano,2024-07-05,1
C069,46,Male,80000,Master,16,Employed,18,Large,738,0,29000,Business,48,6.3,1,270000,1,26000,3,Married,2920,54000,Henderson,2024-07-08,1
C070,22,Female,26000,Bachelor,12,Employed,1,Small,558,0,3800,Education,12,10.2,0,,0,,0,Single,880,1800,Lincoln,2024-07-10,0
C071,40,Male,62000,Bachelor,14,Employed,12,Medium,682,1,19500,Home Improvement,36,7.0,1,200000,1,20000,2,Married,2150,28000,Buffalo,2024-07-12,1
C072,52,Female,99000,PhD,18,Employed,25,Large,788,0,54000,Investment,60,5.4,1,450000,1,39000,2,Married,3650,108000,Gilbert,2024-07-15,1
C073,33,Male,51000,Bachelor,14,Employed,7,Medium,648,1,13500,Debt Consolidation,36,7.4,0,,1,15000,1,Single,1720,12000,Jersey City,2024-07-18,1
C074,45,Female,77000,Master,16,Employed,17,Large,728,0,31000,Business,48,6.2,1,285000,1,28000,2,Married,2880,50000,Reno,2024-07-20,1
C075,27,Male,37000,Bachelor,12,Employed,2,Small,602,0,6200,Personal,12,8.7,0,,0,,0,Single,1280,5800,Fort Wayne,2024-07-22,0
C076,49,Female,86000,Master,18,Employed,21,Large,758,1,38000,Home Improvement,60,5.8,1,355000,1,30000,3,Married,3200,75000,Norfolk,2024-07-25,1
C077,35,Male,50000,Bachelor,14,Employed,8,Medium,642,0,12000,Personal,36,7.5,1,155000,1,14500,1,Married,1780,14500,Lubbock,2024-07-28,1
C078,41,Female,64000,Bachelor,16,Employed,13,Medium,692,1,20500,Business,48,6.8,1,215000,1,21500,2,Married,2280,33000,St. Petersburg,2024-08-01,1
C079,24,Male,28000,Bachelor,12,Employed,1,Small,568,0,4200,Education,12,10.0,0,,0,,0,Single,940,2400,Laredo,2024-08-03,0
C080,38,Female,55000,Bachelor,14,Employed,10,Medium,662,0,16500,Debt Consolidation,36,7.2,1,175000,1,18500,1,Married,1920,19000,Madison,2024-08-05,1
C081,29,Male,n/a,Bachelor,14,Employed,4,Small,620,1,9200,Personal,24,8.1,0,,1,13200,0,Single,1380,7200,Chandler,2024-08-08,1
C082,55,Female,108000,PhD,20,Self-Employed,29,Medium,798,0,62000,Investment,60,5.2,1,520000,1,44000,1,Married,3900,135000,Durham,2024-08-10,1
C083,34,Male,53000,Bachelor,14,Employed,7,Medium,658,1,14200,Home Improvement,36,7.1,1,170000,1,17500,2,Married,1860,16500,Chula Vista,2024-08-12,1
C084,42,Female,67000,Bachelor,16,Employed,14,Medium,698,0,21500,Business,48,6.7,1,230000,1,23500,2,Married,2380,37000,Scottsdale,2024-08-15,1
C085,26,Male,32000,High School,12,Employed,2,Small,588,0,5400,Education,12,9.4,0,,0,,0,Single,1080,3500,Glendale,2024-08-18,0
C086,48,Female,87000,Master,16,Employed,20,Large,748,1,34000,Home Improvement,60,6.0,1,330000,1,27000,3,Married,3080,65000,Garland,2024-08-20,1
C087,31,Male,45000,Bachelor,14,Employed,5,Small,628,0,10000,Personal,24,7.9,0,,1,11800,0,Single,1520,9500,Irving,2024-08-22,1
C088,39,Female,59000,Bachelor,14,Employed,11,Medium,672,1,18000,Debt Consolidation,36,7.1,1,185000,1,19000,2,Married,2020,24000,Fremont,2024-08-25,1
C089,23,Male,25000,Bachelor,12,Unemployed,0,Small,545,0,3600,Personal,12,10.8,0,,0,,0,Single,820,1200,Richmond,2024-08-28,0
C090,51,Female,96000,PhD,18,Employed,24,Large,782,0,50000,Investment,60,5.5,1,430000,1,36000,2,Married,3550,98000,Spokane,2024-09-01,1
C091,36,Male,52000,Bachelor,14,Employed,9,Medium,656,1,15500,Home Improvement,36,7.2,1,180000,1,18000,1,Married,1850,18500,Boise,2024-09-03,1
C092,28,Female,38000,Bachelor,12,Employed,3,Small,605,0,7200,Personal,12,8.6,0,,1,10800,0,Single,1320,6500,Des Moines,2024-09-05,0
C093,44,Male,73000,Bachelor,16,Employed,16,Medium,712,0,25000,Business,48,6.5,1,245000,1,24000,2,Married,2680,44000,San Bernardino,2024-09-08,1
C094,32,Female,47000,Bachelor,14,Employed,6,Small,632,1,11000,Debt Consolidation,24,7.6,0,,1,14200,1,Single,1620,11500,Birmingham,2024-09-10,1
C095,58,Male,120000,PhD,20,Employed,33,Large,810,0,70000,Investment,60,5.0,1,600000,1,50000,1,Married,4500,175000,Rochester,2024-09-12,1
C096,25,Female,31000,Bachelor,12,Employed,2,Small,582,0,5200,Education,12,9.5,0,,0,,0,Single,1060,3000,Modesto,2024-09-15,0
C097,47,Male,83000,Master,16,Employed,19,Large,742,1,33000,Home Improvement,48,6.2,1,305000,1,28500,3,Married,3020,62000,Fayetteville,2024-09-18,1
C098,30,Female,43000,Bachelor,14,Employed,4,Medium,622,0,9800,Personal,24,8.0,0,,1,12800,0,Single,1440,8200,Tacoma,2024-09-20,1
C099,40,Male,61000,Bachelor,14,Employed,12,Medium,680,1,18800,Business,36,6.9,1,195000,1,21000,2,Married,2120,29000,Oxnard,2024-09-22,1
C100,54,Female,104000,PhD,18,Employed,28,Large,792,0,56000,Investment,60,5.3,1,470000,1,41000,2,Married,3780,118000,Fontana,2024-09-25,1
